#id	flocell	series	lane	il_barcode	cel_barcode	project
1	HFJJJBCXX	SU1	L001	index09	1	15-3-4r0t1nat1
2	HFJJJBCXX	SU1	L001	index09	2	15-3-4r0t1nat2
3	HFJJJBCXX	SU1	L001	index09	3	15-3-4r0t1nat3
4	HFJJJBCXX	SU1	L001	index09	4	15-3-4r0t1nat4
5	HFJJJBCXX	SU1	L001	index09	5	15-3-4r0t1nat5
6	HFJJJBCXX	SU1	L001	index09	6	15-3-4r0t1nat6
7	HFJJJBCXX	SU1	L001	index09	7	15-3-4r0t1nat7
8	HFJJJBCXX	SU1	L001	index09	8	15-3-4r0t1drk1
9	HFJJJBCXX	SU1	L001	index09	9	15-3-4r0t1drk2
10	HFJJJBCXX	SU1	L001	index09	10	15-3-4r0t1drk3
11	HFJJJBCXX	SU1	L001	index09	11	15-3-4r0t1drk4
12	HFJJJBCXX	SU1	L001	index09	12	15-3-4r0t1drk5
13	HFJJJBCXX	SU1	L001	index09	13	15-3-4r0t1drk6
14	HFJJJBCXX	SU1	L001	index09	14	15-3-4r0t1drk7
15	HFJJJBCXX	SU1	L001	index09	15	15-3-4r0t1lgt1
16	HFJJJBCXX	SU1	L001	index09	16	15-3-4r0t1lgt2
17	HFJJJBCXX	SU1	L001	index09	17	15-3-4r0t1lgt3
18	HFJJJBCXX	SU1	L001	index09	18	15-3-4r0t1lgt4
19	HFJJJBCXX	SU1	L001	index09	19	15-3-4r0t1lgt5
20	HFJJJBCXX	SU1	L001	index09	20	15-3-4r0t1lgt6
21	HFJJJBCXX	SU1	L001	index09	21	15-3-4r0t1lgt7
22	HFJJJBCXX	SU1	L001	index09	22	15-3-4r0t9nat1
23	HFJJJBCXX	SU1	L001	index09	23	15-3-4r0t9nat2
24	HFJJJBCXX	SU1	L001	index09	24	15-3-4r0t9nat3
25	HFJJJBCXX	SU1	L001	index09	25	15-3-4r0t9nat4
26	HFJJJBCXX	SU1	L001	index09	26	15-3-4r0t9nat6
27	HFJJJBCXX	SU1	L001	index09	27	15-3-4r0t9nat7
28	HFJJJBCXX	SU1	L001	index09	28	15-3-4r0t9nat8
29	HFJJJBCXX	SU1	L001	index09	29	15-3-4r0t9drk1
30	HFJJJBCXX	SU1	L001	index09	30	15-3-4r0t9drk2
31	HFJJJBCXX	SU1	L001	index09	31	15-3-4r0t9drk3
32	HFJJJBCXX	SU1	L001	index09	32	15-3-4r0t9drk4
33	HFJJJBCXX	SU1	L001	index09	33	15-3-4r0t9drk5
34	HFJJJBCXX	SU1	L001	index09	34	15-3-4r0t9drk6
35	HFJJJBCXX	SU1	L001	index09	35	15-3-4r0t9drk7
36	HFJJJBCXX	SU1	L001	index09	36	15-3-4r0t9lgt1
37	HFJJJBCXX	SU1	L001	index09	37	15-3-4r0t9lgt2
38	HFJJJBCXX	SU1	L001	index09	38	15-3-4r0t9lgt3
39	HFJJJBCXX	SU1	L001	index09	39	15-3-4r0t9lgt4
40	HFJJJBCXX	SU1	L001	index09	40	15-3-4r0t9lgt5
41	HFJJJBCXX	SU1	L001	index09	41	15-3-4r0t9lgt6
42	HFJJJBCXX	SU1	L001	index09	42	15-3-4r0t9lgt7
43	HFJJJBCXX	SU1	L001	index09	43	15-3-4r0t9nat5
